"Time","sensor-readings.reading"
1635368400000,-0.3
1635372000000,0.3
1635375600000,0.3
1635379200000,-0.6
1635382800000,-0.3
1635386400000,0.6
1635390000000,0.3
1635393600000,1.6
1635397200000,-0.6
1635400800000,0.6
1635404400000,6.3
1635408000000,6.7
1635411600000,9.3
1635415200000,10
1635418800000,10
1635422400000,10.9
1635426000000,9.7
1635429600000,8.4
1635433200000,6.2
1635436800000,2.8
1635440400000,2.1
1635444000000,0.8
1635447600000,0.5
1635451200000,-0.7
1635454800000,-0.4
1635458400000,-0.4
1635462000000,-0.1
1635465600000,0.2
1635469200000,-0.4
1635472800000,-0.7
1635476400000,-0.8
1635480000000,-0.8
1635483600000,-3.6
1635487200000,-0.6
1635490800000,2.2
1635494400000,6.7
1635498000000,6.7
1635501600000,9
1635505200000,8.6
1635508800000,9.3
1635512400000,8.6
1635516000000,7.8
1635519600000,4.5
1635523200000,3.1
1635526800000,2.3
1635530400000,2.7
1635534000000,3.4
1635537600000,3.8
1635541200000,3.8
1635544800000,2.3
1635548400000,1.6
1635552000000,0.3
1635555600000,-0.3
1635559200000,-0.6
1635562800000,-0.3
1635566400000,1
1635570000000,0.6
1635573600000,0.3
1635577200000,0.3
1635580800000,2.2
1635584400000,7
1635588000000,8.7
1635591600000,10.1
1635595200000,10.1
1635598800000,9.8
1635602400000,8.6
1635606000000,5.6
1635609600000,3.1
1635613200000,2.3
1635616800000,1.3
1635620400000,1.3
1635624000000,1
1635627600000,0.3
1635631200000,0.3
1635634800000,-0.3
1635638400000,-2.2
1635642000000,0
1635645600000,-0.6
1635649200000,-1.9
1635652800000,-1
1635656400000,-2.2
1635660000000,0.7
1635663600000,2.8
1635667200000,4.1
1635670800000,7.3
1635674400000,9.8
1635678000000,8.7
1635681600000,10.5
1635685200000,9.1
1635688800000,7.3
1635692400000,5.8
1635696000000,4.3
1635699600000,3.2
1635703200000,2.1
1635706800000,1.7
1635710400000,0.5
1635714000000,0.5
1635717600000,0.5
1635721200000,0.5
1635724800000,1.1
1635728400000,0.5
1635732000000,0.2
1635735600000,-0.8
1635739200000,-0.5
1635742800000,-0.5
1635746400000,0.4
1635750000000,0.7
1635753600000,6.8
1635757200000,9.4
1635760800000,12.3
1635764400000,11.5
1635768000000,12.3
1635771600000,11
1635775200000,9.6
1635778800000,7.5
1635782400000,6.3
1635786000000,6.3
1635789600000,5.6
1635793200000,5.2
1635796800000,5.6
1635800400000,6
1635804000000,6.3
1635807600000,6.3
1635811200000,6.7
1635814800000,7.1
1635818400000,7.1
1635822000000,7.5
1635825600000,6
1635829200000,6
1635832800000,6.3
1635836400000,6
1635840000000,7.5
1635843600000,6.3
1635847200000,6.7
1635850800000,10.3
1635854400000,11.3
1635858000000,10.3
1635861600000,9.6
1635865200000,8.6
1635868800000,4.8
1635872400000,4.1
1635876000000,3.1
1635879600000,2.7
1635883200000,2.7
1635886800000,2.3
1635890400000,2.3
1635894000000,3.1
1635897600000,1.6
1635901200000,1
1635904800000,1.6
1635908400000,0
1635912000000,1.6
1635915600000,0.6
1635919200000,2.6
1635922800000,4.8
1635926400000,6.6
1635930000000,5.5
1635933600000,7.7
1635937200000,8.6
1635940800000,7.5
1635944400000,7.5
1635948000000,6
1635951600000,6.3
1635955200000,7.1
1635958800000,6.7
1635962400000,7.1
1635966000000,6.7
1635969600000,7.1
1635973200000,7.1
1635976800000,8.2
1635980400000,8.6
1635984000000,9.2
1635987600000,8.6
1635991200000,9.6
1635994800000,8.6
1635998400000,9.6
1636002000000,9
1636005600000,10
1636009200000,11.3
1636012800000,11
1636016400000,14.1
1636020000000,15.8
1636023600000,14.5
1636027200000,13.8
1636030800000,12.8
1636034400000,10.6
1636038000000,8.6
1636041600000,5.6
1636045200000,4.1
1636048800000,3.1
1636052400000,0.6
1636056000000,0.6
1636059600000,-0.3
1636063200000,-0.6
1636066800000,-0.6
1636070400000,-1.6
1636074000000,-1.6
1636077600000,-1
1636081200000,0.3
1636084800000,0
1636088400000,1
1636092000000,1.3
1636095600000,2.9
1636099200000,4.6
1636102800000,5
1636106400000,4.3
1636110000000,6.5
1636113600000,6.1
1636117200000,7.7
1636120800000,5.8
1636124400000,5.8
1636128000000,3.2
1636131600000,2.1
1636135200000,2.1
1636138800000,1.4
1636142400000,1.7
1636146000000,0.8
1636149600000,0.8
1636153200000,0.8
1636156800000,0.2
1636160400000,-0.4
1636164000000,-1.1
1636167600000,-1.1
1636171200000,-0.5
1636174800000,-2.4
