"Time","sensor-readings.reading"
1635224400000,69.1
1635228000000,71.1
1635231600000,73.1
1635235200000,73.1
1635238800000,73.1
1635242400000,73.1
1635246000000,71.1
1635249600000,69.1
1635253200000,67.1
1635256800000,65.1
1635260400000,65.1
1635264000000,63.1
1635267600000,63.1
1635271200000,63.1
1635274800000,63.1
1635278400000,65.1
1635282000000,67.1
1635285600000,69.1
1635289200000,69.1
1635292800000,71.1
1635296400000,73.1
1635300000000,73.1
1635303600000,73.1
1635307200000,75.1
1635310800000,75.1
1635314400000,77.1
1635318000000,77.1
1635321600000,77.1
1635325200000,77.1
1635328800000,73.1
1635332400000,69.1
1635336000000,65.1
1635339600000,61.1
1635343200000,57.1
1635346800000,55.1
1635350400000,53.1
1635354000000,53.1
1635357600000,53.1
1635361200000,55.1
1635364800000,57.1
1635368400000,59.1
1635372000000,63.1
1635375600000,65.1
1635379200000,67.1
1635382800000,69.1
1635386400000,71.1
1635390000000,73.1
1635393600000,75.1
1635397200000,75.1
1635400800000,77.1
1635404400000,79.1
1635408000000,79.1
1635411600000,79.1
1635415200000,75.1
1635418800000,71.1
1635422400000,69.1
1635426000000,65.1
1635429600000,63.1
1635433200000,61.1
1635436800000,59.1
1635440400000,59.1
1635444000000,59.1
1635447600000,59.1
1635451200000,61.1
1635454800000,63.1
1635458400000,65.1
1635462000000,67.1
1635465600000,69.1
1635469200000,71.1
1635472800000,73.1
1635476400000,73.1
1635480000000,75.1
1635483600000,75.1
1635487200000,77.1
1635490800000,77.1
1635494400000,79.1
1635498000000,79.1
1635501600000,77.1
1635505200000,75.1
1635508800000,71.1
1635512400000,67.1
1635516000000,65.1
1635519600000,63.1
1635523200000,63.1
1635526800000,63.1
1635530400000,63.1
1635534000000,65.1
1635537600000,67.1
1635541200000,69.1
1635544800000,69.1
1635548400000,71.1
1635552000000,71.1
1635555600000,73.1
1635559200000,75.1
1635562800000,77.1
1635566400000,79.1
1635570000000,81.1
1635573600000,81.1
