"Time","sensor-readings.reading"
1635393600000,15.5
1635397200000,12.4
1635400800000,14.4
1635404400000,24.4
1635408000000,26.4
1635411600000,32.5
1635415200000,33.9
1635418800000,34
1635422400000,37.6
1635426000000,34.6
1635429600000,32.8
1635433200000,28.8
1635436800000,22.8
1635440400000,19.8
1635444000000,18.8
1635447600000,16.8
1635451200000,14.8
1635454800000,14.8
1635458400000,14.8
1635462000000,13.8
1635465600000,14.8
1635469200000,13.8
1635472800000,12.8
1635476400000,12.9
1635480000000,11.9
1635483600000,8.9
1635487200000,11
1635490800000,16.4
1635494400000,25.6
1635498000000,26.4
1635501600000,31.5
1635505200000,31.2
1635508800000,33.1
1635512400000,33
1635516000000,30.9
1635519600000,24.8
1635523200000,21.7
1635526800000,19.7
1635530400000,20.7
1635534000000,21.7
1635537600000,22.7
1635541200000,22.7
1635544800000,18.7
1635548400000,17.7
1635552000000,14.6
1635555600000,13.6
1635559200000,12.6
1635562800000,12.6
1635566400000,14.6
1635570000000,13.6
1635573600000,12.6
1635577200000,12.6
1635580800000,15.6
1635584400000,24.8
1635588000000,28.9
1635591600000,33.1
1635595200000,33.1
1635598800000,33.5
1635602400000,31.5
1635606000000,25.4
1635609600000,21.4
1635613200000,19.4
1635616800000,18.4
1635620400000,17.4
1635624000000,16.4
1635627600000,14.4
1635631200000,14.4
1635634800000,13.4
1635638400000,10.4
1635642000000,13.3
1635645600000,11.3
1635649200000,9.2
1635652800000,10.2
1635656400000,8.2
1635660000000,13.3
1635663600000,17.4
1635667200000,20.4
1635670800000,26.7
1635674400000,33
1635678000000,31
1635681600000,35
1635685200000,32.9
1635688800000,29.6
1635692400000,26.6
1635696000000,24.6
1635699600000,21.6
1635703200000,19.6
1635706800000,18.6
1635710400000,16.6
1635714000000,16.6
1635717600000,15.6
1635721200000,14.6
1635724800000,15.6
1635728400000,14.6
1635732000000,13.6
1635735600000,11.6
1635739200000,12.6
1635742800000,11.6
1635746400000,13.6
1635750000000,13.6
1635753600000,24.9
1635757200000,31.1
1635760800000,38.5
1635764400000,37.4
1635768000000,41.1
1635771600000,38.2
1635775200000,36.1
1635778800000,32.1
1635782400000,29.1
1635786000000,28.1
1635789600000,26.1
1635793200000,26.1
1635796800000,26.1
1635800400000,26.1
1635804000000,26.1
1635807600000,25.1
1635811200000,25.1
1635814800000,26.1
1635818400000,25.1
1635822000000,26.1
1635825600000,23.1
1635829200000,23.1
1635832800000,23.1
1635836400000,23
1635840000000,26.2
1635843600000,23.1
1635847200000,24.1
1635850800000,32.5
1635854400000,34.8
1635858000000,33.8
1635861600000,31.9
1635865200000,32.1
1635868800000,23.9
1635872400000,20.9
1635876000000,19.9
1635879600000,17.9
1635883200000,17.9
1635886800000,17.9
1635890400000,16.9
1635894000000,17.9
1635897600000,14.9
1635901200000,13.9
1635904800000,14.9
1635908400000,11.8
1635912000000,14.8
1635915600000,12.8
1635919200000,15.8
1635922800000,19.8
1635926400000,23
1635930000000,21
1635933600000,25.9
1635937200000,28
1635940800000,27.2
1635944400000,26.2
1635948000000,24.2
1635951600000,24.2
1635955200000,25.2
1635958800000,25.2
1635962400000,25.2
1635966000000,24.2
1635969600000,25.2
1635973200000,25.2
1635976800000,27.2
1635980400000,28.2
1635984000000,29.2
1635987600000,28.2
1635991200000,29.2
1635994800000,28.2
1635998400000,29.2
1636002000000,28.2
1636005600000,30.2
1636009200000,33.3
1636012800000,33.2
1636016400000,41.1
1636020000000,46.5
1636023600000,44.2
1636027200000,43.2
1636030800000,41.4
1636034400000,38.6
1636038000000,34.4
1636041600000,28.2
1636045200000,26.2
1636048800000,25.2
1636052400000,20.2
1636056000000,20.2
1636059600000,18.2
1636063200000,17.2
1636066800000,16.2
1636070400000,14.1
1636074000000,14.1
1636077600000,14.1
1636081200000,16.1
1636084800000,15.1
1636088400000,17.1
1636092000000,17.1
1636095600000,19.1
1636099200000,22.1
1636102800000,23.1
1636106400000,21.8
1636110000000,25.8
1636113600000,25.9
1636117200000,28.8
1636120800000,25.8
1636124400000,25.8
1636128000000,20.8
1636131600000,19.8
1636135200000,18.8
1636138800000,17.8
1636142400000,16.8
1636146000000,16.8
1636149600000,16.8
1636153200000,15.8
1636156800000,13.8
1636160400000,12.8
1636164000000,11.8
1636167600000,10.8
1636171200000,12.8
1636174800000,9.8
1636178400000,9.8
1636182000000,13.8
1636185600000,20.9
1636189200000,24.2
1636192800000,30.2
1636196400000,28.1
1636200000000,25
1636203600000,26.2
1636207200000,25.4
1636210800000,24.4
1636214400000,22.4
1636218000000,19.3
1636221600000,18.3
1636225200000,18.3
1636228800000,18.3
1636232400000,17.3
1636236000000,20.1
1636239600000,18.1
1636243200000,18.1
1636246800000,17.1
1636250400000,19.1
1636254000000,17.1
1636257600000,18.1
1636261200000,16.1
1636264800000,16.1
1636268400000,17.1
1636272000000,21.2
1636275600000,27.5
1636279200000,29.2
1636282800000,34.2
1636286400000,28.1
1636290000000,31.1
1636293600000,28
1636297200000,26
1636300800000,25
1636304400000,19.9
1636308000000,16.9
1636311600000,14.9
1636315200000,15.9
1636318800000,14.9
1636322400000,15.9
1636326000000,16.9
1636329600000,17.9
1636333200000,15.9
1636336800000,16.9
1636340400000,17.9
1636344000000,17
1636347600000,17
1636351200000,18
1636354800000,18
1636358400000,19
1636362000000,22
1636365600000,22
1636369200000,25
1636372800000,29
1636376400000,25.9
1636380000000,24
1636383600000,22
1636387200000,20
1636390800000,19
1636394400000,19
1636398000000,19
1636401600000,18.1
1636405200000,17.1
1636408800000,16.1
1636412400000,17.1
1636416000000,17.1
1636419600000,17.1
1636423200000,17.1
1636426800000,17.1
1636430400000,16.1
1636434000000,15.1
1636437600000,13.1
1636441200000,14.1
1636444800000,20.2
1636448400000,26.3
1636452000000,29.4
1636455600000,30.4
1636459200000,26.1
1636462800000,25.5
1636466400000,22.5
1636470000000,20.5
1636473600000,17.5
1636477200000,16.5
1636480800000,13.5
1636484400000,13.5
1636488000000,12.5
1636491600000,13.5
1636495200000,12.5
1636498800000,11.5
1636502400000,11.5
1636506000000,11.5
1636509600000,10.5
1636513200000,9.5
1636516800000,10.5
1636520400000,11.5
1636524000000,11.6
1636527600000,17.6
1636531200000,22.6
1636534800000,23.5
1636538400000,25.6
1636542000000,26.5
1636545600000,26.4
1636549200000,25.4
1636552800000,26.5
1636556400000,22.4
1636560000000,19.4
1636563600000,17.4
1636567200000,16.4
1636570800000,15.4
1636574400000,13.4
1636578000000,14.5
1636581600000,16.5
1636585200000,16.5
1636588800000,16.5
1636592400000,15.5
1636596000000,14.5
1636599600000,16.5
1636603200000,15.5
1636606800000,14.6
1636610400000,13.6
1636614000000,13.6
1636617600000,15.6
1636621200000,16.6
1636624800000,18.6
1636628400000,19.7
1636632000000,17.7
1636635600000,18.8
1636639200000,17.7
1636642800000,18.7
1636646400000,19.8
1636650000000,16.8
1636653600000,17.9
1636657200000,16.9
1636660800000,19.9
1636664400000,19
1636668000000,18
1636671600000,18
1636675200000,15
1636678800000,16
1636682400000,16
1636686000000,15
1636689600000,15
1636693200000,18
1636696800000,17
1636700400000,17
1636704000000,18
1636707600000,17
1636711200000,20.1
1636714800000,18
1636718400000,17.1
1636722000000,19.1
1636725600000,18.1
1636729200000,15.1
1636732800000,16.1
1636736400000,16.1
1636740000000,18.1
1636743600000,15.1
1636747200000,16.1
1636750800000,16.1
1636754400000,18.2
1636758000000,16.1
1636761600000,16.1
1636765200000,16.1
1636768800000,17.2
1636772400000,14.1
1636776000000,14.1
1636779600000,15.1
1636783200000,15.2
1636786800000,17.3
1636790400000,16.3
