"Time","sensor-readings.reading"
1648292400000,3697082
1648296000000,3697467
1648299600000,3697834
1648303200000,3698274
1648306800000,3698741
1648310400000,3699277
1648314000000,3699893
1648317600000,3700503
1648321200000,3701118
1648324800000,3701730
1648328400000,3702380
1648332000000,3703006
1648335600000,3703627
1648339200000,3704265
1648342800000,3704896
1648346400000,3705549
1648350000000,3706180
1648353600000,3706804
1648357200000,3707437
1648360800000,3708060
1648364400000,3708640
1648368000000,3709141
1648371600000,3709616
1648375200000,3709985
1648378800000,3710361
1648382400000,3710738
1648386000000,3711116
1648389600000,3711560
1648393200000,3712026
1648396800000,3712589
1648400400000,3713180
1648404000000,3713783
1648407600000,3714434
1648411200000,3715062
1648414800000,3715673
1648418400000,3716324
1648422000000,3716947
1648425600000,3717581
1648429200000,3718230
1648432800000,3718872
1648436400000,3719520
1648440000000,3720156
1648443600000,3720858
1648447200000,3721612
1648450800000,3722486
1648454400000,3723316
1648458000000,3724056
1648461600000,3724714
1648465200000,3725384
1648468800000,3726040
1648472400000,3726742
1648476000000,3727394
1648479600000,3728081
1648483200000,3728991
1648486800000,3729599
1648490400000,3730160
1648494000000,3730908
1648497600000,3731500
1648501200000,3732282
1648504800000,3732840
1648508400000,3733575
1648512000000,3734141
1648515600000,3734882
1648519200000,3735459
1648522800000,3736211
1648526400000,3736794
1648530000000,3737575
1648533600000,3738246
1648537200000,3739168
1648540800000,3739937
1648544400000,3740783
1648548000000,3741439
1648551600000,3742204
1648555200000,3742828
1648558800000,3743613
1648562400000,3744668
1648566000000,3746871
1648569600000,3747829
1648573200000,3749503
1648576800000,3751722
1648580400000,3753916
1648584000000,3754998
1648587600000,3756875
1648591200000,3758721
1648594800000,3760938
1648598400000,3762531
1648602000000,3764245
1648605600000,3764946
1648609200000,3765585
1648612800000,3766296
1648616400000,3766993
1648620000000,3767810
1648623600000,3768581
1648627200000,3769434
1648630800000,3770260
1648634400000,3771176
1648638000000,3771940
1648641600000,3772852
1648645200000,3773591
1648648800000,3774484
1648652400000,3775238
1648656000000,3776014
1648659600000,3776711
1648663200000,3777429
1648666800000,3778140
1648670400000,3778785
1648674000000,3779501
1648677600000,3780075
1648681200000,3780736
1648684800000,3781277
1648688400000,3781956
1648692000000,3782495
1648695600000,3783194
1648699200000,3783915
1648702800000,3784516
1648706400000,3785213
1648710000000,3786142
1648713600000,3786971
1648717200000,3787965
1648720800000,3788799
1648724400000,3789729
1648728000000,3790602
1648731600000,3791499
1648735200000,3792369
1648738800000,3793168
1648742400000,3793916
1648746000000,3794562
1648749600000,3795316
1648753200000,3795963
1648756800000,3796740
1648760400000,3797266
1648764000000,3797920
1648767600000,3798425
1648771200000,3799083
1648774800000,3799585
1648778400000,3800257
1648782000000,3800783
1648785600000,3801433
1648789200000,3802047
1648792800000,3802902
1648796400000,3803734
1648800000000,3804810
1648803600000,3805526
1648807200000,3806336
1648810800000,3807101
1648814400000,3807786
1648818000000,3808655
1648821600000,3809331
1648825200000,3810197
1648828800000,3810915
1648832400000,3811766
1648836000000,3812451
1648839600000,3813282
1648843200000,3813885
1648846800000,3814644
1648850400000,3815186
1648854000000,3815881
1648857600000,3816426
1648861200000,3817136
1648864800000,3817646
1648868400000,3818325
1648872000000,3818845
1648875600000,3819624
1648879200000,3820362
1648882800000,3820909
1648886400000,3821463
1648890000000,3822171
1648893600000,3822697
1648897200000,3823553
1648900800000,3823877
1648904400000,3824474
1648908000000,3824896
1648911600000,3825513
1648915200000,3825990
1648918800000,3826678
1648922400000,3827185
1648926000000,3827767
1648929600000,3828350
1648933200000,3828978
1648936800000,3829582
1648940400000,3830175
1648944000000,3830803
1648947600000,3831382
1648951200000,3832045
1648954800000,3832590
1648958400000,3833270
1648962000000,3833804
1648965600000,3834634
1648969200000,3835114
1648972800000,3835661
1648976400000,3836064
1648980000000,3836502
1648983600000,3836835
1648987200000,3837343
1648990800000,3837750
1648994400000,3838274
1648998000000,3838851
1649001600000,3839439
1649005200000,3840061
1649008800000,3840647
1649012400000,3841317
1649016000000,3841869
1649019600000,3842548
1649023200000,3843072
1649026800000,3843762
1649030400000,3844278
1649034000000,3844949
1649037600000,3845473
1649041200000,3846142
1649044800000,3846691
1649048400000,3847421
1649052000000,3848119
1649055600000,3848977
1649059200000,3849874
1649062800000,3850680
1649066400000,3851509
1649070000000,3852236
1649073600000,3853049
1649077200000,3853741
1649080800000,3854486
1649084400000,3855102
1649088000000,3855893
1649091600000,3856541
1649095200000,3857361
1649098800000,3858007
1649102400000,3858788
1649106000000,3859411
1649109600000,3860123
1649113200000,3860761
1649116800000,3861406
1649120400000,3862080
1649124000000,3862702
1649127600000,3863404
1649131200000,3864007
1649134800000,3864721
1649138400000,3865477
1649142000000,3866332
1649145600000,3867221
1649149200000,3868157
1649152800000,3869083
1649156400000,3870058
1649160000000,3870874
1649163600000,3872617
1649167200000,3874467
1649170800000,3876382
1649174400000,3878270
1649178000000,3880183
1649181600000,3882137
1649185200000,3884231
1649188800000,3886374
1649192400000,3888516
1649196000000,3889776
1649199600000,3890377
1649203200000,3891092
1649206800000,3891656
1649210400000,3892356
1649214000000,3892926
1649217600000,3893100
1649221200000,3894282
1649224800000,3895099
1649228400000,3895797
1649232000000,3896583
1649235600000,3897359
1649239200000,3898100
1649242800000,3898743
1649246400000,3899327
1649250000000,3899981
1649253600000,3900581
1649257200000,3901300
1649260800000,3901836
1649264400000,3902534
1649268000000,3903068
1649271600000,3903760
1649275200000,3904316
1649278800000,3905008
1649282400000,3905534
1649286000000,3906186
1649289600000,3906729
1649293200000,3907383
1649296800000,3907928
1649300400000,3908553
1649304000000,3909128
1649307600000,3909796
1649311200000,3910521
1649314800000,3911362
1649318400000,3912339
1649322000000,3913150
1649325600000,3913935
1649329200000,3914631
1649332800000,3915433
1649336400000,3916090
1649340000000,3916872
1649343600000,3917531
1649347200000,3918366
1649350800000,3919045
1649354400000,3919902
1649358000000,3920555
1649361600000,3921336
1649365200000,3921987
1649368800000,3922687
1649372400000,3923347
1649376000000,3924033
1649379600000,3924709
1649383200000,3925339
1649386800000,3926055
1649390400000,3926684
1649394000000,3927473
1649397600000,3928152
1649401200000,3929033
1649404800000,3929776
1649408400000,3930653
1649412000000,3931262
1649415600000,3932062
1649419200000,3932671
1649422800000,3933453
1649426400000,3934051
1649430000000,3934775
1649433600000,3935423
1649437200000,3936161
1649440800000,3936794
1649444400000,3937592
1649448000000,3938264
1649451600000,3939043
1649455200000,3939648
1649458800000,3940411
1649462400000,3941010
1649466000000,3941770
1649469600000,3942374
1649473200000,3943152
1649476800000,3943775
1649480400000,3944479
1649484000000,3945147
1649487600000,3945803
1649491200000,3946519
1649494800000,3947173
1649498400000,3947839
1649502000000,3948498
1649505600000,3949128
1649509200000,3949763
1649512800000,3950400
1649516400000,3951080
1649520000000,3951761
1649523600000,3952481
1649527200000,3953210
1649530800000,3953965
1649534400000,3954678
1649538000000,3955395
1649541600000,3956092
1649545200000,3956785
1649548800000,3957479
1649552400000,3958170
1649556000000,3958873
1649559600000,3959576
1649563200000,3960280
1649566800000,3960990
1649570400000,3961666
1649574000000,3962254
1649577600000,3962750
1649581200000,3963214
1649584800000,3963662
1649588400000,3964166
1649592000000,3964526
1649595600000,3964982
1649599200000,3965473
1649602800000,3965944
1649606400000,3966524
1649610000000,3967151
1649613600000,3967852
1649617200000,3968528
1649620800000,3969225
1649624400000,3969908
1649628000000,3970584
1649631600000,3971263
1649635200000,3971924
1649638800000,3972568
1649642400000,3973228
1649646000000,3973889
1649649600000,3974559
1649653200000,3975285
1649656800000,3976214
1649660400000,3976767
1649664000000,3977419
1649667600000,3978118
1649671200000,3978694
1649674800000,3979424
1649678400000,3979970
1649682000000,3980645
1649685600000,3981188
1649689200000,3981887
1649692800000,3982432
1649696400000,3983220
1649700000000,3983861
1649703600000,3984671
1649707200000,3985337
1649710800000,3986057
1649714400000,3986785
1649718000000,3987520
1649721600000,3988170
1649725200000,3988829
1649728800000,3989618
1649732400000,3990315
1649736000000,3991012
1649739600000,3991777
1649743200000,3992517
1649746800000,3993236
1649750400000,3993929
1649754000000,3994586
1649757600000,3995161
1649761200000,3995766
1649764800000,3996400
1649768400000,3997031
1649772000000,3997730
1649775600000,3998396
1649779200000,3999073
1649782800000,3999777
1649786400000,4000457
1649790000000,4001191
1649793600000,4001940
1649797200000,4002612
1649800800000,4003297
1649804400000,4003989
1649808000000,4004707
1649811600000,4005415
1649815200000,4006108
1649818800000,4006793
1649822400000,4007487
