"Time","reading"
1648299600000,18
1648303200000,15
1648306800000,16
1648310400000,18
1648314000000,15
1648317600000,19
1648321200000,16
1648324800000,15
1648328400000,16
1648332000000,19
1648335600000,16
1648339200000,15
1648342800000,18
1648346400000,15
1648350000000,18
1648353600000,16
1648357200000,16
1648360800000,19
1648364400000,15
1648368000000,15
1648371600000,18
1648375200000,15
1648378800000,15
1648382400000,17
1648386000000,17
1648389600000,17
1648393200000,16
1648396800000,15
1648400400000,19
1648404000000,16
1648407600000,15
1648411200000,18
1648414800000,15
1648418400000,15
1648422000000,19
1648425600000,15
1648429200000,18
1648432800000,15
1648436400000,18
1648440000000,16
1648443600000,36
1648447200000,30
1648450800000,17
1648454400000,19
1648458000000,27
1648461600000,21
1648465200000,17
1648468800000,20
1648472400000,25
1648476000000,25
1648479600000,19
1648483200000,16
1648486800000,16
1648490400000,19
1648494000000,15
1648497600000,16
1648501200000,18
1648504800000,16
1648508400000,16
1648512000000,17
1648515600000,19
1648519200000,15
1648522800000,20
1648526400000,15
1648530000000,40
1648533600000,31
1648537200000,56
1648540800000,43
1648544400000,43
1648548000000,45
1648551600000,116
1648555200000,156
1648558800000,102
1648562400000,81
1648566000000,52
1648569600000,49
1648573200000,44
1648576800000,45
1648580400000,43
1648584000000,41
1648587600000,45
1648591200000,40
1648594800000,41
1648598400000,44
1648602000000,39
1648605600000,41
1648609200000,41
1648612800000,43
1648616400000,68
1648620000000,91
1648623600000,70
1648627200000,65
1648630800000,85
1648634400000,87
1648638000000,76
1648641600000,90
1648645200000,110
1648648800000,125
1648652400000,111
1648656000000,56
1648659600000,37
1648663200000,39
1648666800000,34
1648670400000,37
1648674000000,33
1648677600000,36
1648681200000,36
1648684800000,34
1648688400000,36
1648692000000,36
1648695600000,35
1648699200000,35
1648702800000,73
1648706400000,67
1648710000000,85
1648713600000,242
1648717200000,229
1648720800000,192
1648724400000,84
1648728000000,242
1648731600000,222
1648735200000,39
1648738800000,33
1648742400000,36
1648746000000,34
1648749600000,34
1648753200000,36
1648756800000,33
1648760400000,36
1648764000000,33
1648767600000,36
1648771200000,24
1648774800000,19
1648778400000,17
1648782000000,20
1648785600000,16
1648789200000,36
1648792800000,34
1648796400000,52
1648800000000,39
1648803600000,49
1648807200000,38
1648810800000,36
1648814400000,23
1648818000000,19
1648821600000,22
1648825200000,18
1648828800000,19
1648832400000,20
1648836000000,17
1648839600000,18
1648843200000,20
1648846800000,17
1648850400000,20
1648854000000,17
1648857600000,20
1648861200000,21
1648864800000,17
1648868400000,20
1648872000000,18
1648875600000,20
1648879200000,18
1648882800000,19
1648886400000,20
1648890000000,17
1648893600000,20
1648897200000,17
1648900800000,21
1648904400000,17
1648908000000,20
1648911600000,16
1648915200000,20
1648918800000,17
1648922400000,20
1648926000000,20
1648929600000,17
1648933200000,19
1648936800000,18
1648940400000,21
1648944000000,17
1648947600000,20
1648951200000,17
1648954800000,20
1648958400000,17
1648962000000,20
1648965600000,20
1648969200000,17
1648972800000,17
1648976400000,20
1648980000000,16
1648983600000,19
1648987200000,19
1648990800000,16
1648994400000,20
1648998000000,16
1649001600000,19
1649005200000,16
1649008800000,19
1649012400000,19
1649016000000,18
1649019600000,19
1649023200000,17
1649026800000,20
1649030400000,17
1649034000000,20
1649037600000,17
1649041200000,20
1649044800000,17
1649048400000,44
1649052000000,68
1649055600000,57
1649059200000,64
1649062800000,63
1649066400000,79
1649070000000,93
1649073600000,93
1649077200000,70
1649080800000,42
1649084400000,23
1649088000000,19
1649091600000,21
1649095200000,22
1649098800000,22
1649102400000,20
1649106000000,23
1649109600000,20
1649113200000,23
1649116800000,20
1649120400000,24
1649124000000,19
1649127600000,23
1649131200000,20
1649134800000,47
1649138400000,48
1649142000000,40
1649145600000,41
1649149200000,43
1649152800000,67
1649156400000,97
1649160000000,91
1649163600000,50
1649167200000,38
1649170800000,19
1649174400000,22
1649178000000,19
1649181600000,21
1649185200000,19
1649188800000,22
1649192400000,19
1649196000000,21
1649199600000,22
1649203200000,18
1649206800000,24
1649210400000,18
1649214000000,22
1649217600000,22
1649221200000,42
1649224800000,43
1649228400000,39
1649232000000,37
1649235600000,34
1649239200000,35
1649242800000,83
1649246400000,84
1649250000000,42
1649253600000,36
1649257200000,22
1649260800000,23
1649264400000,8
1649268000000,8
1649271600000,11
1649275200000,8
1649278800000,8
1649282400000,12
1649286000000,8
1649289600000,8
1649293200000,10
1649296800000,11
1649300400000,8
1649304000000,8
1649307600000,43
1649311200000,44
1649314800000,34
1649318400000,36
1649322000000,33
1649325600000,36
1649329200000,33
1649332800000,36
1649336400000,37
1649340000000,39
1649343600000,30
1649347200000,19
1649350800000,9
1649354400000,11
1649358000000,8
1649361600000,10
1649365200000,12
1649368800000,8
1649372400000,9
1649376000000,10
1649379600000,11
1649383200000,8
1649386800000,9
1649390400000,11
1649394000000,45
1649397600000,49
1649401200000,40
1649404800000,43
1649408400000,43
1649412000000,38
1649415600000,42
1649419200000,28
1649422800000,22
1649426400000,21
1649430000000,19
1649433600000,20
1649437200000,22
1649440800000,22
1649444400000,19
1649448000000,22
1649451600000,22
1649455200000,19
1649458800000,23
1649462400000,19
1649466000000,24
1649469600000,18
1649473200000,23
1649476800000,22
1649480400000,19
1649484000000,23
1649487600000,23
1649491200000,19
1649494800000,22
1649498400000,19
1649502000000,22
1649505600000,23
1649509200000,19
1649512800000,22
1649516400000,19
1649520000000,22
1649523600000,19
1649527200000,22
1649530800000,23
1649534400000,19
1649538000000,22
1649541600000,19
1649545200000,22
1649548800000,20
1649552400000,23
1649556000000,23
1649559600000,20
1649563200000,23
1649566800000,19
1649570400000,23
1649574000000,19
1649577600000,23
1649581200000,18
1649584800000,22
1649588400000,19
1649592000000,22
1649595600000,21
1649599200000,19
1649602800000,21
1649606400000,22
1649610000000,19
1649613600000,22
1649617200000,18
1649620800000,23
1649624400000,18
1649628000000,23
1649631600000,19
1649635200000,22
1649638800000,23
1649642400000,19
1649646000000,22
1649649600000,24
1649653200000,70
1649656800000,93
1649660400000,60
1649664000000,75
1649667600000,61
1649671200000,84
1649674800000,42
1649678400000,49
1649682000000,58
1649685600000,36
1649689200000,36
1649692800000,39
1649696400000,35
1649700000000,37
1649703600000,35
1649707200000,39
1649710800000,34
1649714400000,39
1649718000000,34
1649721600000,39
1649725200000,35
1649728800000,37
1649732400000,37
1649736000000,39
1649739600000,38
1649743200000,41
1649746800000,41
1649750400000,25
1649754000000,28
1649757600000,60
1649761200000,42
1649764800000,73
1649768400000,37
1649772000000,23
1649775600000,20
1649779200000,20
1649782800000,19
1649786400000,20
1649790000000,16
1649793600000,19
1649797200000,16
1649800800000,19
1649804400000,20
1649808000000,16
1649811600000,19
1649815200000,17
1649818800000,20
1649822400000,17
1649826000000,35
1649829600000,39
1649833200000,36
1649836800000,57
1649840400000,90
1649844000000,141
1649847600000,115
1649851200000,58
1649854800000,53
1649858400000,46
1649862000000,55
1649865600000,53
1649869200000,52
1649872800000,48
1649876400000,47
1649880000000,44
1649883600000,46
1649887200000,47
1649890800000,47
1649894400000,44
1649898000000,46
1649901600000,48
1649905200000,43
1649908800000,47
1649912400000,47
1649916000000,36
1649919600000,40
1649923200000,71
1649926800000,86
1649930400000,79
1649934000000,62
1649937600000,58
1649941200000,56
1649944800000,38
1649948400000,40
1649952000000,41
1649955600000,39
1649959200000,36
1649962800000,37
1649966400000,33
1649970000000,36
1649973600000,37
1649977200000,32
1649980800000,38
1649984400000,35
1649988000000,33
1649991600000,36
1649995200000,36
1649998800000,27
1650002400000,38
1650006000000,36
1650009600000,37
1650013200000,35
1650016800000,57
1650020400000,87
1650024000000,19
1650027600000,21
1650031200000,21
1650034800000,22
1650038400000,19
1650042000000,21
1650045600000,19
1650049200000,21
1650052800000,21
1650056400000,18
1650060000000,22
1650063600000,20
1650067200000,21
1650070800000,18
1650074400000,22
1650078000000,21
1650081600000,19
1650085200000,22
1650088800000,18
1650092400000,20
1650096000000,22
1650099600000,18
1650103200000,22
1650106800000,19
1650110400000,21
1650114000000,20
1650117600000,22
1650121200000,18
1650124800000,19
1650128400000,22
1650132000000,18
1650135600000,22
1650139200000,18
1650142800000,22
1650146400000,20
1650150000000,19
1650153600000,22
1650157200000,22
1650160800000,18
1650164400000,21
1650168000000,22
1650171600000,19
1650175200000,21
1650178800000,22
1650182400000,18
1650186000000,22
1650189600000,18
1650193200000,21
1650196800000,18
1650200400000,21
1650204000000,20
1650207600000,20
1650211200000,19
1650214800000,21
1650218400000,18
1650222000000,22
1650225600000,19
1650229200000,20
1650232800000,21
1650236400000,21
1650240000000,19
1650243600000,20
1650247200000,21
1650250800000,23
1650254400000,19
1650258000000,19
1650261600000,23
1650265200000,18
1650268800000,22
1650272400000,18
1650276000000,20
1650279600000,21
1650283200000,18
1650286800000,21
1650290400000,18
1650294000000,21
1650297600000,18
1650301200000,21
1650304800000,22
1650308400000,18
1650312000000,22
