"Time","reading"
1648299600000,0
1648303200000,0
1648306800000,0
1648310400000,0
1648314000000,0
1648317600000,0
1648321200000,0
1648324800000,0
1648328400000,0
1648332000000,0
1648335600000,0
1648339200000,0
1648342800000,0
1648346400000,0
1648350000000,0
1648353600000,0
1648357200000,0
1648360800000,0
1648364400000,0
1648368000000,0
1648371600000,0
1648375200000,0
1648378800000,0
1648382400000,0
1648386000000,0
1648389600000,0
1648393200000,0
1648396800000,0
1648400400000,0
1648404000000,0
1648407600000,0
1648411200000,0
1648414800000,0
1648418400000,0
1648422000000,0
1648425600000,0
1648429200000,0
1648432800000,0
1648436400000,0
1648440000000,0
1648443600000,0
1648447200000,0
1648450800000,0
1648454400000,0
1648458000000,0
1648461600000,0
1648465200000,0
1648468800000,0
1648472400000,0
1648476000000,0
1648479600000,0
1648483200000,0
1648486800000,0
1648490400000,0
1648494000000,0
1648497600000,0
1648501200000,0
1648504800000,0
1648508400000,0
1648512000000,0
1648515600000,0
1648519200000,0
1648522800000,0
1648526400000,0
1648530000000,0
1648533600000,0
1648537200000,0
1648540800000,0
1648544400000,0
1648548000000,0
1648551600000,0
1648555200000,0
1648558800000,0
1648562400000,618
1648566000000,1243
1648569600000,0
1648573200000,1116
1648576800000,1411
1648580400000,1127
1648584000000,482
1648587600000,1071
1648591200000,1068
1648594800000,1060
1648598400000,1293
1648602000000,616
1648605600000,0
1648609200000,0
1648612800000,0
1648616400000,0
1648620000000,0
1648623600000,0
1648627200000,0
1648630800000,0
1648634400000,0
1648638000000,0
1648641600000,0
1648645200000,0
1648648800000,0
1648652400000,0
1648656000000,0
1648659600000,0
1648663200000,0
1648666800000,0
1648670400000,0
1648674000000,0
1648677600000,0
1648681200000,0
1648684800000,0
1648688400000,0
1648692000000,0
1648695600000,0
1648699200000,0
1648702800000,0
1648706400000,0
1648710000000,0
1648713600000,0
1648717200000,0
1648720800000,0
1648724400000,0
1648728000000,0
1648731600000,0
1648735200000,0
1648738800000,0
1648742400000,0
1648746000000,0
1648749600000,0
1648753200000,0
1648756800000,0
1648760400000,0
1648764000000,0
1648767600000,0
1648771200000,0
1648774800000,0
1648778400000,0
1648782000000,0
1648785600000,0
1648789200000,0
1648792800000,0
1648796400000,0
1648800000000,0
1648803600000,0
1648807200000,0
1648810800000,0
1648814400000,0
1648818000000,0
1648821600000,0
1648825200000,0
1648828800000,0
1648832400000,0
1648836000000,0
1648839600000,0
1648843200000,0
1648846800000,0
1648850400000,0
1648854000000,0
1648857600000,0
1648861200000,0
1648864800000,0
1648868400000,0
1648872000000,0
1648875600000,0
1648879200000,0
1648882800000,0
1648886400000,0
1648890000000,0
1648893600000,0
1648897200000,0
1648900800000,0
1648904400000,0
1648908000000,0
1648911600000,0
1648915200000,0
1648918800000,0
1648922400000,0
1648926000000,0
1648929600000,0
1648933200000,0
1648936800000,0
1648940400000,0
1648944000000,0
1648947600000,0
1648951200000,0
1648954800000,0
1648958400000,0
1648962000000,0
1648965600000,0
1648969200000,0
1648972800000,0
1648976400000,0
1648980000000,0
1648983600000,0
1648987200000,0
1648990800000,0
1648994400000,0
1648998000000,0
1649001600000,0
1649005200000,0
1649008800000,0
1649012400000,0
1649016000000,0
1649019600000,0
1649023200000,0
1649026800000,0
1649030400000,0
1649034000000,0
1649037600000,0
1649041200000,0
1649044800000,0
1649048400000,0
1649052000000,0
1649055600000,0
1649059200000,0
1649062800000,0
1649066400000,0
1649070000000,0
1649073600000,0
1649077200000,0
1649080800000,0
1649084400000,0
1649088000000,0
1649091600000,0
1649095200000,0
1649098800000,0
1649102400000,0
1649106000000,0
1649109600000,0
1649113200000,0
1649116800000,0
1649120400000,0
1649124000000,0
1649127600000,0
1649131200000,0
1649134800000,0
1649138400000,0
1649142000000,0
1649145600000,0
1649149200000,0
1649152800000,0
1649156400000,0
1649160000000,0
1649163600000,1089
1649167200000,1085
1649170800000,1076
1649174400000,1077
1649178000000,1077
1649181600000,1253
1649185200000,1316
1649188800000,1384
1649192400000,1426
1649196000000,163
1649199600000,0
1649203200000,0
1649206800000,0
1649210400000,0
1649214000000,0
1649217600000,0
1649221200000,0
1649224800000,0
1649228400000,0
1649232000000,0
1649235600000,0
1649239200000,0
1649242800000,0
1649246400000,0
1649250000000,0
1649253600000,0
1649257200000,0
1649260800000,0
1649264400000,0
1649268000000,0
1649271600000,0
1649275200000,0
1649278800000,0
1649282400000,0
1649286000000,0
1649289600000,0
1649293200000,0
1649296800000,0
1649300400000,0
1649304000000,0
1649307600000,0
1649311200000,0
1649314800000,0
1649318400000,0
1649322000000,0
1649325600000,0
1649329200000,0
1649332800000,0
1649336400000,0
1649340000000,0
1649343600000,0
1649347200000,0
1649350800000,0
1649354400000,0
1649358000000,0
1649361600000,0
1649365200000,0
1649368800000,0
1649372400000,0
1649376000000,0
1649379600000,0
1649383200000,0
1649386800000,0
1649390400000,0
1649394000000,0
1649397600000,0
1649401200000,0
1649404800000,0
1649408400000,0
1649412000000,0
1649415600000,0
1649419200000,0
1649422800000,0
1649426400000,0
1649430000000,0
1649433600000,0
1649437200000,0
1649440800000,0
1649444400000,0
1649448000000,0
1649451600000,0
1649455200000,0
1649458800000,0
1649462400000,0
1649466000000,0
1649469600000,0
1649473200000,0
1649476800000,0
1649480400000,0
1649484000000,0
1649487600000,0
1649491200000,0
1649494800000,0
1649498400000,0
1649502000000,0
1649505600000,0
1649509200000,0
1649512800000,0
1649516400000,0
1649520000000,0
1649523600000,0
1649527200000,0
1649530800000,0
1649534400000,0
1649538000000,0
1649541600000,0
1649545200000,0
1649548800000,0
1649552400000,0
1649556000000,0
1649559600000,0
1649563200000,0
1649566800000,0
1649570400000,0
1649574000000,0
1649577600000,0
1649581200000,0
1649584800000,0
1649588400000,0
1649592000000,0
1649595600000,0
1649599200000,0
1649602800000,0
1649606400000,0
1649610000000,0
1649613600000,0
1649617200000,0
1649620800000,0
1649624400000,0
1649628000000,0
1649631600000,0
1649635200000,0
1649638800000,0
1649642400000,0
1649646000000,0
1649649600000,0
1649653200000,0
1649656800000,0
1649660400000,0
1649664000000,0
1649667600000,0
1649671200000,0
1649674800000,0
1649678400000,0
1649682000000,0
1649685600000,0
1649689200000,0
1649692800000,0
1649696400000,0
1649700000000,0
1649703600000,0
1649707200000,0
1649710800000,0
1649714400000,0
1649718000000,0
1649721600000,0
1649725200000,0
1649728800000,0
1649732400000,0
1649736000000,0
1649739600000,0
1649743200000,0
1649746800000,0
1649750400000,0
1649754000000,0
1649757600000,0
1649761200000,0
1649764800000,0
1649768400000,0
1649772000000,0
1649775600000,0
1649779200000,0
1649782800000,0
1649786400000,0
1649790000000,0
1649793600000,0
1649797200000,0
1649800800000,0
1649804400000,0
1649808000000,0
1649811600000,0
1649815200000,0
1649818800000,0
1649822400000,0
1649826000000,0
1649829600000,0
1649833200000,0
1649836800000,0
1649840400000,0
1649844000000,0
1649847600000,0
1649851200000,0
1649854800000,0
1649858400000,0
1649862000000,0
1649865600000,0
1649869200000,0
1649872800000,0
1649876400000,0
1649880000000,0
1649883600000,0
1649887200000,0
1649890800000,0
1649894400000,0
1649898000000,0
1649901600000,0
1649905200000,0
1649908800000,0
1649912400000,0
1649916000000,0
1649919600000,0
1649923200000,0
1649926800000,0
1649930400000,0
1649934000000,0
1649937600000,0
1649941200000,0
1649944800000,0
1649948400000,0
1649952000000,0
1649955600000,0
1649959200000,0
1649962800000,0
1649966400000,0
1649970000000,0
1649973600000,0
1649977200000,0
1649980800000,0
1649984400000,0
1649988000000,0
1649991600000,0
1649995200000,0
1649998800000,0
1650002400000,0
1650006000000,0
1650009600000,0
1650013200000,0
1650016800000,0
1650020400000,0
1650024000000,0
1650027600000,0
1650031200000,0
1650034800000,0
1650038400000,0
1650042000000,0
1650045600000,0
1650049200000,0
1650052800000,0
1650056400000,0
1650060000000,0
1650063600000,0
1650067200000,0
1650070800000,0
1650074400000,0
1650078000000,0
1650081600000,0
1650085200000,0
1650088800000,0
1650092400000,0
1650096000000,0
1650099600000,0
1650103200000,0
1650106800000,0
1650110400000,0
1650114000000,0
1650117600000,0
1650121200000,0
1650124800000,0
1650128400000,0
1650132000000,0
1650135600000,0
1650139200000,0
1650142800000,0
1650146400000,0
1650150000000,0
1650153600000,0
1650157200000,0
1650160800000,0
1650164400000,0
1650168000000,0
1650171600000,0
1650175200000,0
1650178800000,0
1650182400000,0
1650186000000,0
1650189600000,0
1650193200000,0
1650196800000,0
1650200400000,0
1650204000000,0
1650207600000,0
1650211200000,0
1650214800000,0
1650218400000,0
1650222000000,0
1650225600000,0
1650229200000,0
1650232800000,0
1650236400000,0
1650240000000,0
1650243600000,0
1650247200000,0
1650250800000,0
1650254400000,0
1650258000000,0
1650261600000,0
1650265200000,0
1650268800000,0
1650272400000,0
1650276000000,0
1650279600000,0
1650283200000,0
1650286800000,0
1650290400000,0
1650294000000,0
1650297600000,0
1650301200000,0
1650304800000,0
1650308400000,0
1650312000000,0
1650315600000,0
1650319200000,0
1650322800000,0
1650326400000,0
1650330000000,0
1650333600000,0
1650337200000,0
1650340800000,0
1650344400000,0
1650348000000,0
1650351600000,0
1650355200000,0
1650358800000,0
1650362400000,0
1650366000000,0
1650369600000,0
1650373200000,0
1650376800000,0
1650380400000,0
1650384000000,0
1650387600000,0
1650391200000,0
1650394800000,0
1650398400000,0
1650402000000,0
1650405600000,0
1650409200000,0
1650412800000,0
1650416400000,0
1650420000000,0
1650423600000,0
