"Time","reading"
1649736000000,79
1649739600000,111
1649743200000,172
1649746800000,202
1649750400000,161
1649754000000,169
1649757600000,95
1649761200000,117
1649764800000,158
1649768400000,188
1649772000000,184
1649775600000,166
1649779200000,94
1649782800000,83
1649786400000,77
1649790000000,77
1649793600000,73
1649797200000,67
1649800800000,73
1649804400000,68
1649808000000,71
1649811600000,68
1649815200000,72
1649818800000,68
1649822400000,76
1649826000000,82
1649829600000,97
1649833200000,120
1649836800000,132
1649840400000,166
1649844000000,172
1649847600000,186
1649851200000,190
1649854800000,144
1649858400000,110
1649862000000,102
1649865600000,99
1649869200000,97
1649872800000,92
1649876400000,90
1649880000000,85
1649883600000,83
1649887200000,85
1649890800000,85
1649894400000,80
1649898000000,81
1649901600000,84
1649905200000,77
1649908800000,82
1649912400000,91
1649916000000,93
1649919600000,93
1649923200000,121
1649926800000,162
1649930400000,224
1649934000000,217
1649937600000,235
1649941200000,271
1649944800000,262
1649948400000,144
1649952000000,113
1649955600000,107
1649959200000,100
1649962800000,95
1649966400000,89
1649970000000,87
1649973600000,85
1649977200000,84
1649980800000,84
1649984400000,87
1649988000000,87
1649991600000,85
1649995200000,85
1649998800000,105
1650002400000,125
1650006000000,213
1650009600000,236
1650013200000,235
1650016800000,163
1650020400000,88
1650024000000,84
1650027600000,81
1650031200000,82
1650034800000,79
1650038400000,84
1650042000000,80
1650045600000,75
1650049200000,75
1650052800000,72
1650056400000,72
1650060000000,72
1650063600000,71
1650067200000,66
1650070800000,71
1650074400000,66
1650078000000,70
1650081600000,67
1650085200000,69
1650088800000,69
1650092400000,67
1650096000000,70
1650099600000,72
1650103200000,71
1650106800000,74
1650110400000,71
1650114000000,74
1650117600000,72
1650121200000,71
1650124800000,74
1650128400000,69
1650132000000,69
1650135600000,69
1650139200000,67
1650142800000,70
1650146400000,70
1650150000000,70
1650153600000,72
1650157200000,72
1650160800000,69
1650164400000,73
1650168000000,70
1650171600000,70
1650175200000,71
1650178800000,70
1650182400000,69
1650186000000,67
1650189600000,70
1650193200000,69
1650196800000,68
1650200400000,74
1650204000000,73
1650207600000,73
1650211200000,71
1650214800000,72
1650218400000,68
1650222000000,70
1650225600000,70
1650229200000,65
1650232800000,70
1650236400000,70
1650240000000,67
1650243600000,74
1650247200000,69
1650250800000,71
1650254400000,72
1650258000000,69
1650261600000,73
1650265200000,69
1650268800000,68
1650272400000,70
1650276000000,66
1650279600000,69
1650283200000,70
1650286800000,97
1650290400000,104
1650294000000,103
1650297600000,104
1650301200000,100
1650304800000,105
1650308400000,101
1650312000000,102
1650315600000,99
1650319200000,100
1650322800000,101
1650326400000,103
1650330000000,100
1650333600000,103
1650337200000,99
1650340800000,104
1650344400000,100
1650348000000,145
1650351600000,135
1650355200000,173
1650358800000,219
1650362400000,180
1650366000000,208
1650369600000,219
1650373200000,181
1650376800000,242
1650380400000,186
1650384000000,97
1650387600000,95
1650391200000,87
1650394800000,89
1650398400000,85
1650402000000,87
1650405600000,84
1650409200000,89
1650412800000,84
1650416400000,89
1650420000000,85
1650423600000,85
1650427200000,92
1650430800000,91
1650434400000,144
1650438000000,187
1650441600000,202
1650445200000,175
1650448800000,217
1650452400000,231
1650456000000,297
1650459600000,309
1650463200000,287
1650466800000,160
1650470400000,100
1650474000000,98
1650477600000,92
1650481200000,88
1650484800000,78
1650488400000,73
1650492000000,76
1650495600000,76
1650499200000,78
1650502800000,76
1650506400000,75
1650510000000,79
