"Time","reading"
1648299600000,31
1648303200000,30.5
1648306800000,31.5
1648310400000,30.75
1648314000000,30.5
1648317600000,31
1648321200000,31
1648324800000,31
1648328400000,30.75
1648332000000,30.75
1648335600000,30.75
1648339200000,30.5
1648342800000,30.75
1648346400000,30
1648350000000,29.75
1648353600000,31.25
1648357200000,31.25
1648360800000,31
1648364400000,30.5
1648368000000,30.25
1648371600000,30.5
1648375200000,30.5
1648378800000,31.25
1648382400000,34.5
1648386000000,35
1648389600000,34.5
1648393200000,34.25
1648396800000,34.75
1648400400000,34.25
1648404000000,33
1648407600000,34
1648411200000,34
1648414800000,34.5
1648418400000,33.25
1648422000000,33.25
1648425600000,30.25
1648429200000,30.5
1648432800000,29.75
1648436400000,31.5
1648440000000,34.5
1648443600000,34.75
1648447200000,33.25
1648450800000,190.75
1648454400000,31.25
1648458000000,48.5
1648461600000,32.25
1648465200000,32.5
1648468800000,32.25
1648472400000,34.25
1648476000000,33.25
1648479600000,32.5
1648483200000,33.25
1648486800000,32.5
1648490400000,33.25
1648494000000,32.25
1648497600000,33.5
1648501200000,33.75
1648504800000,34
1648508400000,33.25
1648512000000,33.5
1648515600000,33
1648519200000,33.5
1648522800000,33.5
1648526400000,33.75
1648530000000,50.25
1648533600000,37.75
1648537200000,38.75
1648540800000,36
1648544400000,50.75
1648548000000,59.75
1648551600000,66.75
1648555200000,51
1648558800000,131.5
1648562400000,31.5
1648566000000,32.5
1648569600000,32.75
1648573200000,33.25
1648576800000,33.25
1648580400000,34.5
1648584000000,34
1648587600000,34.25
1648591200000,34
1648594800000,35
1648598400000,35
1648602000000,35
1648605600000,35.5
1648609200000,34
1648612800000,34.75
1648616400000,35
1648620000000,34.75
1648623600000,37.5
1648627200000,39.25
1648630800000,51.75
1648634400000,51.5
1648638000000,91.75
1648641600000,119
1648645200000,98.5
1648648800000,77.75
1648652400000,70.25
1648656000000,35.25
1648659600000,34
1648663200000,34.75
1648666800000,34
1648670400000,35.25
1648674000000,34
1648677600000,34.5
1648681200000,34.5
1648684800000,34.5
1648688400000,34
1648692000000,33.25
1648695600000,34.75
1648699200000,33.5
1648702800000,74
1648706400000,185
1648710000000,195.5
1648713600000,247.75
1648717200000,203.75
1648720800000,130.25
1648724400000,102.5
1648728000000,59
1648731600000,118.75
1648735200000,197.25
1648738800000,102.75
1648742400000,49.5
1648746000000,48.75
1648749600000,49.25
1648753200000,52
1648756800000,52.75
1648760400000,52.75
1648764000000,52.5
1648767600000,52.75
1648771200000,38.75
1648774800000,30
1648778400000,30
1648782000000,30.25
1648785600000,30
1648789200000,30.75
1648792800000,125.5
1648796400000,180
1648800000000,206.25
1648803600000,208
1648807200000,140.5
1648810800000,112
1648814400000,27.25
1648818000000,29.75
1648821600000,29.5
1648825200000,29.25
1648828800000,30
1648832400000,30
1648836000000,29.75
1648839600000,29.75
1648843200000,29.5
1648846800000,29.75
1648850400000,29.5
1648854000000,30
1648857600000,30.25
1648861200000,30.5
1648864800000,30
1648868400000,30.5
1648872000000,30
1648875600000,30.5
1648879200000,30
1648882800000,31
1648886400000,30.5
1648890000000,31
1648893600000,30
1648897200000,31
1648900800000,31
1648904400000,30.75
1648908000000,30.5
1648911600000,31.25
1648915200000,31.5
1648918800000,31
1648922400000,30.5
1648926000000,30
1648929600000,31
1648933200000,30.25
1648936800000,30.75
1648940400000,30.25
1648944000000,30.25
1648947600000,30.75
1648951200000,30.75
1648954800000,30.25
1648958400000,30.25
1648962000000,30.75
1648965600000,30.75
