time,energy,glob_irrad_in_diffuse,glob_irrad_total_disc,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-04-21 04:00:00,1773.0,7.318074666666666,7.109850000000001,-3.501111111111111,11.266666666666666,58.37499303815093,2.8333333333333335,0.0,0.0,0.0,0,3,4,2022,4,21,111,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2022-04-21 05:00:00,1661.0,22.637396807511738,44.0607612371134,-2.522222222222222,12.1,60.44763057067957,4.2625,0.0,0.0,0.0,0,3,4,2022,5,21,111,0.43388373911755823,-0.900968867902419,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998
2022-04-21 06:00:00,2003.0,47.10873521390374,191.7898009178744,-0.10000000000000003,15.600000000000001,62.52068965517241,6.166666666666667,0.0,0.0,0.0,0,3,4,2022,6,21,111,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
2022-04-21 07:00:00,2103.0,81.24507687116564,384.7359391,3.5214285714285714,22.22,64.22758620689656,9.886666666666667,0.0,0.0,0.0,0,3,4,2022,7,21,111,0.43388373911755823,-0.900968867902419,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998
2022-04-21 08:00:00,2155.0,128.84961117647057,529.3746809113301,5.16,25.03333333333333,64.4,11.392857142857142,0.0,0.0,0.0,0,3,4,2022,8,21,111,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
2022-04-21 09:00:00,1805.0,188.2166675987842,573.4021053035319,5.723076923076923,26.95,64.4,12.447058823529412,0.0,0.0,0.0,0,3,4,2022,9,21,111,0.43388373911755823,-0.900968867902419,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998
2022-04-21 10:00:00,2081.0,261.2770020375335,711.4748145991333,6.341176470588235,28.981818181818184,62.163589743589746,13.577777777777778,0.0,0.0,0.0,0,3,4,2022,10,21,111,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998
2022-04-21 11:00:00,2504.0,289.983697705314,770.8331295609474,6.222222222222222,28.914285714285715,59.88579297245963,14.13846153846154,1.0,1.0,0.0,0,3,4,2022,11,21,111,0.43388373911755823,-0.900968867902419,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998
2022-04-21 12:00:00,2668.0,228.27613657824932,761.1513365056527,6.588235294117647,30.28888888888889,57.75339506172839,14.78095238095238,1.0,1.0,0.0,0,3,4,2022,12,21,111,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
2022-04-21 13:00:00,2430.0,242.94019208333333,734.9969774272588,6.963157894736843,31.666666666666668,55.64529914529915,15.65,1.0,1.0,0.0,0,3,4,2022,13,21,111,0.43388373911755823,-0.900968867902419,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998
2022-04-21 14:00:00,2295.0,193.94192108635096,702.8199843402226,7.2,32.97777777777778,53.32566736916052,16.835714285714285,1.0,0.0,0.0,0,3,4,2022,14,21,111,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998
2022-04-21 15:00:00,2148.0,185.86847769620252,417.6685405695612,6.133333333333334,31.4625,51.4,16.108333333333334,1.0,0.0,0.0,0,3,4,2022,15,21,111,0.43388373911755823,-0.900968867902419,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998
2022-04-21 16:00:00,2142.0,149.15100057831324,324.0273656175973,6.1499999999999995,32.27142857142857,49.58717524799244,16.62222222222222,0.0,0.0,0.0,0,3,4,2022,16,21,111,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998
2022-04-21 17:00:00,1980.0,59.75231220708447,86.32896022624433,4.133333333333334,28.0,47.93479911420436,14.966666666666667,0.0,0.0,0.0,0,3,4,2022,17,21,111,0.43388373911755823,-0.900968867902419,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998
2022-04-21 18:00:00,1853.0,21.7948997979798,21.19756120967742,2.45,25.5,46.83948134556575,13.65,0.0,0.0,0.0,0,3,4,2022,18,21,111,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998
